id,transaction_date,type,category_id,contact_id,property_id,event_id,egg_sale_id,inventory_movement_id,description,amount,payment_method,reference_number,notes,created_at,etims_invoice_id
28,2024-01-30,expense,13,44,,,,,Nairobi Water — connection deposit,8000,Bank Transfer,BT6834817,Water meter deposit,2024-01-30T14:48:00,
29,2024-01-31,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — January (pro-rata),12000,Bank Transfer,BT3131377,Pro-rata for last 4 days of January,2024-01-31T16:25:00,
30,2024-02-01,expense,8,9,,,,,Casual labour — renovation/setup assistance,1500,M-Pesa,SDWLSLWT0U,Day hire fundi/helper,2024-02-01T12:14:00,
31,2024-02-01,expense,16,,1,,,,Main house veranda renovation — new flooring,180000,Bank Transfer,BT4221145,Contractor — veranda tiling and railing,2024-02-01T12:54:00,
32,2024-02-01,expense,22,16,1,,,,"Electrical accessories — extensions, bulbs, adapters, power strips",32000,M-Pesa,SG7SFH8J77,Eastleigh Hardware,2024-02-01T15:08:00,
33,2024-02-02,expense,8,10,,,,,Casual labour — renovation/setup assistance,1500,M-Pesa,SO5F4U3D7K,Day hire fundi/helper,2024-02-02T11:01:00,
34,2024-02-02,expense,25,20,1,,,,"Furniture — veranda lounge chairs, coffee tables",60000,Bank Transfer,BT8522073,Westlands Furniture,2024-02-02T13:48:00,
35,2024-02-02,expense,25,20,1,,,,"Furniture — bookshelves, side tables, display stands",30000,M-Pesa,SUOUIQA709,Westlands Furniture,2024-02-02T15:12:00,
36,2024-02-02,expense,6,4,,,,,Casual security — property watch,1500,Cash,,Day hire guard,2024-02-02T17:39:00,
37,2024-02-03,expense,22,18,4,,,,Event equipment — 120 plastic chairs,96000,Bank Transfer,BT9048147,Safari Event Rentals,2024-02-03T09:32:00,
38,2024-02-03,expense,9,11,,,,,Casual transport — furniture and equipment delivery,1500,Cash,,Pickup truck hire for deliveries,2024-02-03T10:14:00,
39,2024-02-03,expense,16,,1,,,,Kitchen renovation — countertops and sink upgrade,95000,Bank Transfer,BT6081843,Contractor — kitchen refurbishment,2024-02-03T14:00:00,
40,2024-02-03,expense,8,10,,,,,Casual labour — renovation/setup assistance,1500,Cash,,Day hire fundi/helper,2024-02-03T15:18:00,
41,2024-02-03,expense,22,18,4,,,,Event equipment — 13 round tables + 4 rectangular,96000,Bank Transfer,BT3013894,Safari Event Rentals,2024-02-03T15:53:00,
42,2024-02-04,expense,8,9,,,,,Casual labour — renovation/setup assistance,1500,M-Pesa,SVQQ4NT7S3,Day hire fundi/helper,2024-02-04T12:25:00,
43,2024-02-04,expense,22,18,4,,,,"Event equipment — tents, table covers, ribbons, vases, banners",45000,M-Pesa,S4QE5KULUQ,Safari Event Rentals,2024-02-04T13:34:00,
44,2024-02-05,expense,22,22,2,,,,"Linens — bedsheets, towels, kitchen towels, curtains",55000,M-Pesa,S34J3KBNDY,Ngong Road Linen Centre — guest house supplies,2024-02-05T08:23:00,
45,2024-02-05,expense,22,22,1,,,,"Linens — tablecloths, napkins, chair covers, sashes (bulk)",115000,Bank Transfer,BT4116886,Ngong Road Linen Centre,2024-02-05T09:26:00,
46,2024-02-05,expense,16,,1,,,,Sitting/dining area repaint and ceiling repair,45000,M-Pesa,SNQXL1SGWE,Painter + materials,2024-02-05T13:15:00,
47,2024-02-05,expense,6,6,,,,,Casual security — property watch,1500,M-Pesa,SZVMJRBDPE,Day hire guard,2024-02-05T14:40:00,
48,2024-02-05,expense,9,11,,,,,Casual transport — linen delivery from Ngong Road,1500,M-Pesa,SZUE697PJE,Delivery run,2024-02-05T17:18:00,
49,2024-02-06,expense,22,16,4,,,,Fairy lights — string and curtain lights (14 sets),22000,M-Pesa,S6JCN4SZ9E,Eastleigh Hardware,2024-02-06T08:01:00,
50,2024-02-06,expense,22,16,1,,,,"Sound equipment — 2 JBL speakers, 2 wireless mics",45500,M-Pesa,S4G5ATYI2K,Eastleigh Hardware — electronics section,2024-02-06T16:44:00,
51,2024-02-06,expense,8,10,,,,,Casual labour — renovation/setup assistance,1500,M-Pesa,SPTCCJQOQC,Day hire fundi/helper,2024-02-06T16:56:00,
52,2024-02-07,expense,16,,2,,,,Guest house maintenance — plumbing and paint,35000,M-Pesa,SF84BCSCYS,Manager's accommodation prep,2024-02-07T09:21:00,
53,2024-02-07,expense,8,9,,,,,Casual labour — renovation/setup assistance,1500,Cash,,Day hire fundi/helper,2024-02-07T09:58:00,
54,2024-02-08,expense,6,4,,,,,Casual security — property watch,1500,M-Pesa,SOEMZLJZI4,Day hire guard,2024-02-08T10:32:00,
55,2024-02-08,expense,16,,3,,,,Servants quarters refurbishment,25000,Cash,,Minor repairs and repaint,2024-02-08T12:39:00,
56,2024-02-08,expense,8,9,,,,,Casual labour — renovation/setup assistance,1500,Cash,,Day hire fundi/helper,2024-02-08T14:55:00,
57,2024-02-08,expense,16,,5,,,,"Poultry area construction — coops, feeders, waterers",85000,Bank Transfer,BT4170719,Custom chicken coop build,2024-02-08T16:48:00,
58,2024-02-09,expense,7,8,1,,,,Casual cleaning — post-renovation deep clean,1500,Cash,,Main house deep clean,2024-02-09T08:15:00,
59,2024-02-10,expense,8,9,,,,,Casual labour — renovation/setup assistance,1500,Cash,,Day hire fundi/helper,2024-02-10T09:37:00,
60,2024-02-10,expense,23,14,5,,,,Purchase of 200 Kuroiler hens,100000,Bank Transfer,BT9444750,Nthiwa Kamore — livestock supplier. 200 hens @ KES 500 each,2024-02-10T10:26:00,
61,2024-02-10,expense,12,23,5,,,,Veterinary consultation — initial flock assessment,8000,M-Pesa,STWVR343DN,Dr. Odhiambo — vaccination schedule set,2024-02-10T12:14:00,
62,2024-02-10,expense,9,11,,,,,Casual transport — chicken flock delivery,2500,Cash,,Special trip — livestock transport,2024-02-10T13:40:00,
63,2024-02-10,expense,11,14,5,,,,Initial chicken feed stock — layers mash (500kg),25000,M-Pesa,SV0J1X19PP,2-week supply,2024-02-10T15:33:00,
64,2024-02-10,expense,7,7,1,,,,Casual cleaning — post-renovation deep clean,1500,Cash,,Continued cleaning,2024-02-10T16:09:00,
65,2024-02-11,expense,7,8,1,,,,Casual cleaning — final setup clean,1500,M-Pesa,SZIWXDCXXX,Final walkthrough clean,2024-02-11T11:43:00,
66,2024-02-11,expense,20,,4,,,,Dog acquisition — Simba & Zuri (2 dogs),12000,Cash,,Guard dogs for property security,2024-02-11T12:12:00,
67,2024-02-11,expense,20,23,,,,,Vet checkup and vaccinations — Simba & Zuri,5000,M-Pesa,S35LRGPAXT,"Initial health check + rabies, distemper",2024-02-11T13:05:00,
68,2024-02-12,expense,17,25,,,,,Event planner consultation — venue setup advice,15000,M-Pesa,SZG3FQTMHH,Pauline Omweri — initial walkthrough and recommendations,2024-02-12T10:58:00,
69,2024-02-12,expense,6,6,,,,,Casual security — property watch,1500,Cash,,Day hire guard,2024-02-12T16:00:00,
70,2024-02-14,expense,17,24,,,,,Accountant — business books setup and tax registration,20000,M-Pesa,S9GQ7Q2908,Veronica Njagi — initial accounting setup,2024-02-14T08:25:00,
71,2024-02-15,expense,13,44,,,,,Nairobi Water — February water bill,4500,M-Pesa,SNIH1SHI0G,Landscaping irrigation usage,2024-02-15T10:39:00,
72,2024-02-15,expense,14,43,,,,,Kenya Power — February electricity bill,8500,M-Pesa,SLFEC41AHS,Higher usage due to renovations,2024-02-15T13:56:00,
73,2024-02-15,expense,6,4,,,,,Casual security — property watch,1500,Cash,,Day hire guard,2024-02-15T15:21:00,
74,2024-02-16,expense,19,15,,,,,"Supplies & provisions — cleaning chemicals, detergent, bin bags",6500,M-Pesa,SSPC5MBPO6,Opening stock of supplies,2024-02-16T09:42:00,
75,2024-02-19,expense,6,4,,,,,Casual security — property watch,1500,Cash,,Day hire guard,2024-02-19T11:49:00,
76,2024-02-20,capital_injection,1,1,,,,,Owner capital injection — renovation cost overrun,500000,Bank Transfer,BT7551877,Additional funds for renovation completion,2024-02-20T08:37:00,
77,2024-02-22,expense,6,5,,,,,Casual security — property watch,1500,Cash,,Day hire guard,2024-02-22T12:00:00,
78,2024-02-26,expense,6,5,,,,,Casual security — property watch,1500,M-Pesa,S28L46T89H,Day hire guard,2024-02-26T10:41:00,
79,2024-02-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — February,12000,Bank Transfer,BT6690219,Part-time monthly pay — started mid-Feb,2024-02-28T14:15:00,
80,2024-02-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — February,35000,Bank Transfer,BT4482413,Monthly salary,2024-02-28T14:40:00,
81,2024-03-01,income,4,39,5,,1,,Egg sales — 3 trays,1035,M-Pesa,SOC2AMUECF,,2024-03-01T09:48:00,1
82,2024-03-02,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-03-02T12:30:00,
83,2024-03-03,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SFQ3GIK4ZH,Weekly clean,2024-03-03T08:29:00,
84,2024-03-03,expense,15,3,4,,,,Garden weeding and mulching,5000,M-Pesa,SDUPJRWDJA,Groundskeeper + occasional casual help,2024-03-03T10:15:00,
85,2024-03-05,income,4,41,5,,2,,Egg sales — 8 trays,2720,M-Pesa,SKPTTUOR4W,,2024-03-05T11:41:00,2
86,2024-03-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),16624,M-Pesa,SPTUPK52LE,Biweekly feed purchase,2024-03-05T16:39:00,
87,2024-03-06,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,S0GTRT7UFP,Day hire guard,2024-03-06T08:51:00,
88,2024-03-06,income,2,31,,1,,,Event deposit — Birthday Party (2024-03-16),17500,Bank Transfer,BT5878155,50% deposit received,2024-03-06T13:19:00,3
89,2024-03-06,expense,8,10,,,,,Plumbing repair — kitchen sink,5000,M-Pesa,S4HRCPDM60,Day hire fundi,2024-03-06T13:46:00,
90,2024-03-06,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-03-06T15:51:00,
91,2024-03-08,income,4,41,5,,4,,Egg sales — 6 trays,2070,M-Pesa,SXLILU49QI,,2024-03-08T11:21:00,4
92,2024-03-08,income,4,40,5,,3,,Egg sales — 2 trays,720,M-Pesa,SHU7KJWFVJ,,2024-03-08T13:02:00,5
93,2024-03-08,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3500,M-Pesa,S5POIYEFLK,,2024-03-08T14:45:00,
94,2024-03-08,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SVW3566310,Day hire guard,2024-03-08T16:23:00,
95,2024-03-09,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-03-09T10:23:00,
96,2024-03-12,income,4,41,5,,5,,Egg sales — 6 trays,2070,M-Pesa,SAS8MVUT5A,,2024-03-12T09:26:00,6
97,2024-03-12,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,S669N96QA2,Weekly clean,2024-03-12T14:01:00,
98,2024-03-12,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,SALP38Z1T6,Day hire guard,2024-03-12T14:58:00,
99,2024-03-13,expense,20,23,,,,,Dog grooming and vet checkup — Simba & Zuri,3000,M-Pesa,S7ZK8EPF8P,Quarterly checkup,2024-03-13T08:27:00,
100,2024-03-14,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-03-14T13:48:00,
101,2024-03-15,expense,7,8,,1,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-03-15T09:11:00,
102,2024-03-15,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",3500,Cash,,,2024-03-15T10:39:00,
103,2024-03-15,income,4,40,5,,6,,Egg sales — 2 trays,700,M-Pesa,SZ2XX88OQA,,2024-03-15T11:28:00,7
104,2024-03-15,expense,21,,,1,,,"Event supplies — Birthday Party (flowers, decor, consumables)",5194,Cash,,,2024-03-15T12:19:00,
105,2024-03-15,expense,6,6,,1,,,Casual security — event eve setup watch,1500,Cash,,,2024-03-15T13:51:00,
106,2024-03-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-03,7994,M-Pesa,S2VWSQB4ZY,,2024-03-15T17:10:00,
107,2024-03-16,expense,13,44,,,,,Nairobi Water — water bill 2024-03,2683,M-Pesa,S3B4Z9FFQV,,2024-03-16T08:28:00,
108,2024-03-16,expense,12,23,5,,,,Deworming treatment — poultry,10000,M-Pesa,SUTR2MIXX2,Dr. Odhiambo,2024-03-16T10:01:00,
109,2024-03-16,income,4,42,5,,7,,Egg sales — 6 trays,2100,M-Pesa,SR5DWZG1U5,,2024-03-16T11:48:00,8
110,2024-03-16,expense,19,19,,,,,"Kitchen provisions — tea, sugar, cooking oil, water",2500,M-Pesa,S61I086QYT,,2024-03-16T11:55:00,
111,2024-03-16,income,2,31,,1,,,Event balance — Birthday Party,17500,Bank Transfer,BT6429492,Balance payment on event day,2024-03-16T12:52:00,9
112,2024-03-16,expense,10,13,,1,,,Casual labour — event setup & assistance,1500,M-Pesa,SQD7N9LNRE,,2024-03-16T14:00:00,
113,2024-03-16,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,S6JQ6QXEH0,Weekly clean,2024-03-16T14:46:00,
114,2024-03-16,expense,6,5,,1,,,Casual security — event day,1500,Cash,,,2024-03-16T14:54:00,
115,2024-03-17,expense,7,7,,1,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SBHUADIN02,,2024-03-17T16:23:00,
116,2024-03-18,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-03-18T13:52:00,
117,2024-03-19,income,4,42,5,,8,,Egg sales — 7 trays,2485,M-Pesa,SR7XKSZ49R,,2024-03-19T11:49:00,11
118,2024-03-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),14777,M-Pesa,SWDY3NTXRV,Biweekly feed purchase,2024-03-19T13:34:00,
119,2024-03-21,income,2,32,,2,,,Event deposit — Garden Party (2024-03-30),22500,M-Pesa,SKZK61NZ9O,50% deposit received,2024-03-21T08:15:00,12
120,2024-03-21,expense,26,,,,,,Padlocks and keys,500,M-Pesa,SGKQTC0HYP,,2024-03-21T13:44:00,
121,2024-03-21,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-03-21T14:09:00,
122,2024-03-21,expense,9,11,,,,,Transport — egg delivery to buyer,1500,M-Pesa,SQ81PRQHB0,,2024-03-21T16:50:00,
123,2024-03-22,income,4,39,5,,9,,Egg sales — 2 trays,700,M-Pesa,SMQ62SCM9K,,2024-03-22T10:30:00,13
124,2024-03-22,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-03-22T15:36:00,
125,2024-03-23,income,4,39,5,,10,,Egg sales — 1 trays,350,M-Pesa,S78VLZWEFL,,2024-03-23T09:23:00,14
126,2024-03-25,expense,15,3,4,,,,Hedge trimming,3500,M-Pesa,S9JYEULROG,Groundskeeper + occasional casual help,2024-03-25T08:07:00,
127,2024-03-25,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SE2N4NWSO7,Day hire guard,2024-03-25T14:52:00,
128,2024-03-26,income,4,42,5,,11,,Egg sales — 8 trays,2720,Cash,,,2024-03-26T15:32:00,15
129,2024-03-27,expense,21,,,2,,,"Event supplies — Garden Party (flowers, decor, consumables)",3371,Cash,,,2024-03-27T14:13:00,
130,2024-03-28,expense,19,15,,,,,"Cleaning supplies — detergent, bleach, floor polish",3500,M-Pesa,S31H0PVSOS,,2024-03-28T09:00:00,
131,2024-03-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-03,35000,Bank Transfer,BT6972165,Monthly salary,2024-03-28T14:06:00,
132,2024-03-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-03,12000,Bank Transfer,BT3355258,Part-time monthly pay,2024-03-28T14:07:00,
133,2024-03-28,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,SRAKDAIOG4,Day hire guard,2024-03-28T17:41:00,
134,2024-03-29,expense,7,7,,2,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-03-29T09:18:00,
135,2024-03-29,expense,10,12,,2,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-03-29T10:01:00,
136,2024-03-29,expense,6,4,,2,,,Casual security — event eve setup watch,1500,M-Pesa,S2YC2EAC3C,,2024-03-29T11:18:00,
137,2024-03-30,income,2,32,,2,,,Event balance — Garden Party,22500,Bank Transfer,BT5754516,Balance payment on event day,2024-03-30T12:29:00,16
138,2024-03-30,expense,10,13,,2,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-03-30T12:42:00,
139,2024-03-30,expense,6,6,,2,,,Casual security — event day,1500,Cash,,,2024-03-30T15:13:00,
140,2024-03-31,income,2,33,,3,,,Event deposit — Baby Shower (2024-04-13),15000,Bank Transfer,BT3061346,50% deposit received,2024-03-31T15:53:00,17
141,2024-03-31,expense,7,8,,2,,,Casual cleaning — post-event cleanup,1500,Cash,,,2024-03-31T17:52:00,
142,2024-04-01,expense,18,27,,2,,,Agent commission — Garden Party (2024-03-30),4500,M-Pesa,SE2AIOELD4,10% commission on hire fee,2024-04-01T12:32:00,
143,2024-04-02,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SYQFOSMYFQ,Day hire guard,2024-04-02T12:06:00,
144,2024-04-03,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-04-03T09:05:00,
145,2024-04-04,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-04T10:41:00,
146,2024-04-05,income,4,39,5,,12,,Egg sales — 2 trays,700,M-Pesa,SXT4BWR0WO,,2024-04-05T11:39:00,18
147,2024-04-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),13640,M-Pesa,SH789R4FOT,Biweekly feed purchase,2024-04-05T15:46:00,
148,2024-04-05,income,4,39,5,,13,,Egg sales — 1 trays,355,M-Pesa,SPLO8744P1,,2024-04-05T16:14:00,19
149,2024-04-06,income,3,37,1,,,,Wellness service — yoga session,15000,Bank Transfer,BT4653951,,2024-04-06T14:18:00,21
150,2024-04-06,expense,15,3,4,,,,Garden weeding and mulching,3500,M-Pesa,SQ4657CWFV,Groundskeeper + occasional casual help,2024-04-06T17:11:00,
151,2024-04-06,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3500,M-Pesa,SVJ2D6DIGR,,2024-04-06T17:27:00,
152,2024-04-07,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-04-07T13:13:00,
153,2024-04-08,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-08T08:36:00,
154,2024-04-09,income,4,40,5,,14,,Egg sales — 2 trays,700,M-Pesa,SXYLSF9Y34,,2024-04-09T09:27:00,22
155,2024-04-11,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SAUBUKZCR8,Weekly clean,2024-04-11T13:36:00,
156,2024-04-11,expense,21,,,3,,,"Event supplies — Baby Shower (flowers, decor, consumables)",3128,Cash,,,2024-04-11T14:53:00,
157,2024-04-12,expense,6,6,,3,,,Casual security — event eve setup watch,1500,M-Pesa,SVUSSBSN8T,,2024-04-12T13:54:00,
158,2024-04-12,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-12T14:46:00,
159,2024-04-12,income,4,42,5,,15,,Egg sales — 5 trays,1725,Cash,,,2024-04-12T15:43:00,23
160,2024-04-12,expense,7,8,,3,,,Casual cleaning — pre-event deep clean,1500,M-Pesa,S4TLYXW38E,,2024-04-12T15:52:00,
161,2024-04-12,expense,15,3,4,,,,Flower bed maintenance,5000,Cash,,Groundskeeper + occasional casual help,2024-04-12T16:39:00,
162,2024-04-13,income,2,33,,3,,,Event balance — Baby Shower,15000,M-Pesa,SLW12DBNF8,Balance payment on event day,2024-04-13T12:07:00,24
163,2024-04-13,expense,10,12,,3,,,Casual labour — event setup & assistance,1500,Cash,,,2024-04-13T12:21:00,
164,2024-04-13,expense,6,4,,3,,,Casual security — event day,1500,M-Pesa,S8OY6BNQ3U,,2024-04-13T15:09:00,
165,2024-04-14,expense,26,,,,,,Printing and stationery,800,M-Pesa,SA8G4IFZHQ,,2024-04-14T12:52:00,
166,2024-04-14,expense,7,7,,3,,,Casual cleaning — post-event cleanup,1500,Cash,,,2024-04-14T14:51:00,
167,2024-04-14,expense,8,9,,,,,Electrical repair — faulty socket,3000,Cash,,Day hire fundi,2024-04-14T15:48:00,
168,2024-04-15,expense,22,17,,,,85,Inventory restock — Mops (Cotton),1750,Cash,,Replacing broken/worn stock,2024-04-15T10:42:00,
169,2024-04-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-04,5673,M-Pesa,S5KLYO3LMQ,,2024-04-15T12:52:00,
170,2024-04-15,expense,22,18,,,,86,Inventory restock — Flower Vases (Glass),2450,M-Pesa,SCDOO8R7YL,Replacing broken/worn stock,2024-04-15T14:50:00,
171,2024-04-15,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-15T15:01:00,
172,2024-04-16,income,4,39,5,,16,,Egg sales — 3 trays,1035,M-Pesa,S6YB0LKJW2,,2024-04-16T08:06:00,28
173,2024-04-16,expense,13,44,,,,,Nairobi Water — water bill 2024-04,4480,M-Pesa,SNXXNZFQ11,,2024-04-16T15:40:00,
174,2024-04-16,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SK429XK9EL,Weekly clean,2024-04-16T16:15:00,
175,2024-04-18,income,2,34,,4,,,Event deposit — Wellness Retreat (2024-04-27),30000,M-Pesa,SBA5ONKZ2S,50% deposit received,2024-04-18T16:50:00,29
176,2024-04-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),17216,M-Pesa,SQZDCIXNNC,Biweekly feed purchase,2024-04-19T13:53:00,
177,2024-04-19,income,4,40,5,,17,,Egg sales — 1 trays,345,Cash,,,2024-04-19T14:02:00,30
178,2024-04-19,income,4,41,5,,18,,Egg sales — 7 trays,2450,Cash,,,2024-04-19T15:53:00,31
179,2024-04-19,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-19T16:01:00,
180,2024-04-20,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SRL1NYA8F4,Weekly clean,2024-04-20T14:52:00,
181,2024-04-22,expense,15,3,4,,,,Garden weeding and mulching,3500,M-Pesa,SFXZH86NR5,Groundskeeper + occasional casual help,2024-04-22T08:48:00,
182,2024-04-22,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SIYLB11SJ1,Day hire guard,2024-04-22T10:39:00,
183,2024-04-23,income,4,42,5,,19,,Egg sales — 4 trays,1420,M-Pesa,SSTEYPXFKJ,,2024-04-23T09:47:00,32
184,2024-04-23,expense,19,15,,,,,"General provisions — toilet paper, bin bags, soap",4000,M-Pesa,SUEL0TXXOK,,2024-04-23T11:10:00,
185,2024-04-23,expense,15,3,4,,,,Hedge trimming,5000,Cash,,Groundskeeper + occasional casual help,2024-04-23T16:59:00,
186,2024-04-23,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-04-23T17:16:00,
187,2024-04-24,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-24T12:31:00,
